,Event,Record Attendance,Record Week,This Week
2060,Snowden Field,136,15/10/2022,
2061,Soham Village College,242,25/01/2020,51
2062,Somerdale Pavilion,268,24/06/2023,71
2063,Somerset East,98,29/01/2022,31
2064,Somerset West,514,10/09/2016,125
2065,Sonsbeek,98,02/09/2023,53
2066,South Bank,1010,25/12/2019,544
2067,South Beach Estate juniors,60,09/10/2022,12
2068,South Beach Recreation Reserve,191,20/11/2021,101
2069,South Boulder Creek,69,15/07/2023,57
2070,South Manchester,819,01/01/2020,394
2071,South Manchester juniors,122,28/04/2019,53
2072,South Norwood,300,09/03/2019,94
2073,South Oxhey,159,02/02/2019,41
2074,South Para Reservoir,79,05/06/2021,33
2075,South Park juniors,148,22/07/2018,64
2076,South Shields,578,23/09/2017,165
2077,South Toowoomba,522,15/02/2020,230
2078,South Woodham Ferrers,346,01/01/2020,83
2079,Southall,212,22/01/2022,43
2080,Southampton,1612,18/01/2020,826
2081,Southampton Common juniors,99,09/10/2022,74
2082,Southampton juniors,217,07/05/2017,61
2083,Southend,552,25/01/2020,164
2084,Southern Highlands Botanic Gardens,161,14/05/2022,72
2085,Southport,539,01/01/2020,309
2086,Southsea,657,18/01/2020,
2087,Southwark,705,01/01/2020,339
2088,Southwick Country Park,417,24/12/2016,133
2089,Spencer Park juniors,84,02/07/2023,30
2090,Speyer Leinpfad,104,01/04/2023,41
2091,Spindle Tree,122,28/10/2023,46
2092,Sport Ireland Campus,147,23/10/2021,45
2093,Sportpark Rems,66,09/09/2023,27
2094,Spring Creek,24,25/03/2023,
2095,Springbok,90,20/08/2016,15
2096,Springburn,306,11/05/2019,141
2097,Springburn juniors,53,29/05/2022,23
2098,Springhill,45,22/12/2018,6
2099,Springs,770,18/02/2017,150
2100,Squerryes Winery,227,14/09/2019,80
2101,St Albans,739,11/01/2020,239
2102,St Andrews,751,23/09/2023,247
2103,St Anne’s,911,30/09/2023,406
2104,St Anne’s juniors,301,13/01/2019,97
2105,St Fergal’s College juniors,41,16/10/2022,16
2106,St Francis,959,29/12/2018,83
2107,St George,49,23/01/2021,31
2108,St Helens,566,01/01/2019,341
2109,St Lucia,800,24/03/2018,225
2110,St Mary’s,206,14/08/2021,88
2111,St Mary’s Campus juniors,49,02/04/2023,18
2112,St Nicholas juniors,110,02/07/2023,64
2113,St Peters,501,14/01/2023,362
2114,Stadspark,112,05/08/2023,38
2115,"Stadspark, Sittard",57,09/09/2023,29
2116,Stadtpark,48,07/10/2023,27
2117,"Stadtpark, Graz",52,07/10/2023,
2118,Stamford Park,217,18/01/2020,114
2119,Standerton,209,10/03/2018,64
2120,Stanley Park juniors,111,29/10/2017,45
2121,Stanthorpe,150,07/03/2020,70
2122,Stanthorpe,150,08/04/2023,70
2123,Stavanger,109,12/08/2023,36
2124,Staveley juniors,48,11/04/2021,
2125,Stebonheath,158,15/10/2022,44
2126,Sterkfontein,449,22/09/2018,156
2127,Stevenage,586,11/01/2020,291
2128,Stevenage juniors,94,08/09/2019,48
2129,Stevens Park juniors,68,15/09/2019,37
2130,Stewart,588,01/01/2020,328
2131,Stilbaai West Beach,352,24/12/2022,88
2132,Stirling juniors,104,25/10/2015,52
2133,Stockley Country,417,07/01/2023,44
2134,Stockton,347,13/12/2014,165
2135,Stokes Bay juniors,184,04/06/2017,84
2136,Stonehaven,129,01/01/2020,42
2137,Stonehouse,383,01/01/2020,
2138,Stonehouse juniors,117,19/05/2019,
2139,Stones Corner,583,04/03/2023,445
2140,Stopline Way juniors,28,13/08/2023,24
2141,Storeys Field,563,24/12/2022,413
2142,Stormont,776,01/01/2020,247
2143,Stowmarket Recreation Ground juniors,70,22/05/2022,40
2144,"Stratford Park, Stroud",320,01/01/2020,
2145,Stratford-upon-Avon,721,01/01/2020,190
2146,Stratford-upon-Avon Rec juniors,142,16/05/2021,56
2147,Strathalbyn,208,01/01/2020,54
2148,Strathclyde,510,05/01/2019,443
2149,Strathcona Island,85,14/09/2019,37
2150,Street,226,25/12/2018,64
2151,Stretford,962,01/01/2020,625
2152,Strokestown,204,01/01/2020,58
2153,Studley,379,29/02/2020,201
2154,Stutterheim,218,14/04/2018,28
2155,Sudbury,26,10/08/2019,3
2156,Sunbury,346,25/11/2017,69
2157,Sunny Hill,140,30/03/2019,65
2158,Sunrise-on-Sea,454,01/01/2019,158
2159,Sunset Hills Shitasanbashi,45,30/09/2023,12
2160,Sunshine Beach,35,11/03/2023,14
2161,Surbiton juniors,178,25/04/2021,120
2162,Surfers Paradise,244,01/07/2023,105
2163,Susquehanna Riverwalk,22,23/10/2021,11
2164,Sutcliffe,314,13/05/2023,223
2165,Sutton Lawn juniors,80,02/02/2020,33
2166,Sutton Manor,270,18/01/2020,48
2167,Sutton Park,580,01/01/2019,272
2168,Swadlincote juniors,123,10/06/2018,76
2169,Swaffham,186,20/04/2019,29
2170,Swakopmund,212,04/01/2020,84
2171,Swaleside,43,18/03/2023,13
2172,Swanley,209,06/11/2021,
2173,Swansea Bay,639,26/08/2023,401
2174,Swansea Prom juniors,66,09/07/2023,48
2175,Swellendam,216,21/10/2017,52
2176,Świdwin,234,03/11/2018,63
2177,Świnoujście,230,10/11/2018,35
2178,Szczecin,144,22/04/2017,67
2179,Szczecinek,97,05/10/2013,17
2180,"Szubianki, Zagórów",79,07/05/2022,18
2181,Talkin Tarn Country Park,212,15/01/2022,114
2182,Tallangatta Station,99,29/04/2023,33
2183,Tamagawa chuo koen,39,29/10/2022,15
2184,Tamar Lakes,256,12/08/2023,110
2185,Tamar Trails,189,20/04/2019,93
2186,Tamborine Mountain,164,01/01/2020,36
2187,Tampere,127,13/10/2018,
2188,Tamworth,309,15/02/2020,168
2189,Tamworth Castle Grounds,374,28/10/2023,
2190,Tamworth Wetlands,278,11/08/2018,91
2191,Tannum Sands,109,28/01/2023,53
2192,Tapijn,108,29/05/2023,55
2193,Taree,196,28/12/2019,151
2194,Taupō,207,08/04/2023,111
2195,Tauranga,272,28/04/2018,125
2196,Tawd Valley,242,01/01/2020,136
2197,Tczew,1774,13/05/2023,252
2198,Ted Scobie Oval,78,06/02/2021,20
2199,Teifi Marshes Nature Reserve,159,02/09/2023,75
2200,Teignmouth Promenade,396,07/03/2020,
2201,Telford,718,01/01/2020,316
2202,Temple Newsam,483,01/01/2016,173
2203,Temple Newsam juniors,135,21/06/2015,48
2204,Templemore,208,14/01/2017,68
2205,Tennogawa koen,28,23/10/2021,22
2206,Terme,75,15/12/2018,16
2207,Tern Hill,36,28/09/2019,10
2208,Tern Hill,36,23/09/2023,10
2209,Terry Hershey,133,25/01/2020,65
2210,Tetbury Goods Shed,177,07/03/2020,95
2211,Tewkesbury,181,20/07/2019,
2212,"Thames Path, Woolwich",502,16/09/2023,152
2213,The Avenues,87,12/06/2021,24
2214,The Beaches,644,01/01/2019,44
2215,The Beaches,644,01/01/2020,44
2216,The Cinder Track,227,26/08/2023,113
2217,The Entrance,243,25/01/2020,52
2218,The Glen,27,18/03/2023,7
2219,The Grand Canal Way,117,08/10/2022,39
2220,The Grange,73,05/11/2022,4
2221,The Great Field,389,29/07/2023,236
2222,The Great Field juniors,62,31/07/2022,40
2223,The Leas,194,02/11/2019,35
2224,The Meadows juniors,154,25/08/2019,84
2225,The Mystery juniors,136,22/10/2023,90
2226,The Mystery juniors,136,29/10/2023,90
2227,The Old Rail Trail juniors,70,30/04/2023,58
2228,The Old Showfield,284,04/01/2020,141
2229,The Pastures,205,12/01/2019,61
2230,The Ponds,708,29/02/2020,545
2231,The Reeds,329,08/10/2022,110
2232,The Spinney,48,21/05/2022,24
2233,The Station Yard juniors,83,04/07/2021,35
2234,The Terrace,693,30/01/2016,115
2235,The Wammy,674,01/01/2020,188
2236,The Waterfront juniors,200,11/08/2019,
2237,The Wirral Way juniors,85,05/09/2021,38
2238,Thetford,407,01/01/2020,186
2239,Third Creek Greenway,35,03/09/2022,14
2240,Thomas Mills,171,08/06/2019,
2241,Thonock Lane Farm,122,14/10/2023,79
2242,Thornbury,337,18/11/2017,
2243,Thorndon juniors,62,02/05/2021,29
2244,Thornham Walks,208,17/06/2023,
2245,Thorp Perrow,259,09/09/2023,
2246,Thousand Hills,478,01/01/2018,75
2247,Thurrock,175,25/01/2020,63
2248,Thurso,130,01/06/2019,65
2249,Tidworth,181,11/06/2022,79
2250,Tilgate,722,18/01/2020,346
2251,Tilgate juniors,321,08/01/2017,42
2252,Timboon,151,13/05/2017,50
2253,Tinley Manor,291,02/09/2017,43
2254,Toboshane Valley Estate,185,04/06/2022,
2255,Tokoinranta,166,18/05/2023,55
2256,Tolka Valley,180,17/02/2018,49
2257,Tollcross,411,01/01/2020,100
2258,Tolson juniors,97,24/04/2016,21
2259,Tonbridge,788,20/04/2019,
2260,Tonbridge juniors,169,08/09/2019,104
2261,Toolern Creek,212,07/02/2015,75
2262,Tooting Common,1092,11/01/2020,447
2263,Tooting Common juniors,192,23/06/2019,111
2264,Toowoomba,618,04/02/2023,372
2265,Torbay Velopark,417,20/04/2019,280
2266,Torbay Velopark juniors,83,19/05/2019,
2267,Torquay,387,07/01/2023,220
2268,Torrens,552,08/02/2020,321
2269,Torridge juniors,183,16/07/2017,23
2270,Toruń,245,12/08/2023,157
2271,Torvean,512,30/09/2023,198
2272,Torvean juniors,120,28/05/2023,76
2273,Town Beach,123,15/07/2023,58
2274,Town Moor,842,30/03/2019,568
2275,Town Moor juniors,212,07/05/2017,74
2276,Tøyen,168,01/05/2023,86
2277,Tralee,350,01/01/2019,229
2278,Tralee juniors,266,30/04/2017,69
2279,Tramore,309,23/01/2016,122
2280,Tramore Valley,533,23/01/2016,229
2281,Traralgon,289,17/10/2015,109
2282,Traumschleife Bärenbachpfad,45,17/09/2022,11
2283,Trelai Park,173,03/06/2023,20
2284,Trelissick,341,20/04/2019,199
2285,Tremorfa,217,29/02/2020,52
2286,Trentham Gardens,698,28/01/2023,557
2287,Trentham Memorial,257,30/01/2021,67
2288,Treviso,63,25/03/2023,28
2289,Troon,298,01/01/2020,131
2290,Tsakane Wetlands,187,23/03/2019,37
2291,Tsujido kaihin koen,50,23/09/2023,40
2292,Tsurumi Ryokuchi,69,07/10/2023,
2293,Tuggeranong,592,01/01/2019,244
2294,Tullow,258,04/01/2020,115
2295,Two Rivers Wines,114,14/10/2023,63
2296,Tychy,102,17/03/2018,22
2297,Tymon,441,01/01/2020,97
2298,Tyne Green,329,22/06/2019,
2299,Tyne Green juniors,106,27/11/2022,
2300,Tynwald Park,82,10/09/2022,29
2301,TYTO Wetlands,35,12/12/2020,7
2302,TYTO Wetlands,35,06/02/2021,7
2303,Tzaneen,375,22/02/2020,68
2304,Uckfield,321,04/05/2019,66
2305,Uditore,68,19/05/2018,22
2306,Umbagong District,180,15/07/2023,113
2307,Umfolozi,119,11/08/2018,36
2308,Umhlanga,906,09/06/2018,340
2309,Umstead Park,84,25/03/2023,38
2310,Underwood Park,482,17/12/2016,173
2311,Unisee,64,01/10/2022,54
2312,University of Northampton,333,29/07/2023,186
2313,University of Stirling,361,12/10/2019,225
2314,University of Waikato,190,07/11/2020,88
2315,University of Western Australia,566,30/07/2022,125
2316,University Parks,676,07/10/2023,442
2317,Upington,212,20/01/2018,52
2318,Uppermill juniors,80,09/07/2023,53
2319,Uppsala,149,06/06/2023,28
2320,Upton Court,424,01/01/2019,109
2321,Upton House,661,03/06/2023,269
2322,Upton House juniors,185,12/01/2020,73
2323,Urayasushi sogo koen,55,15/07/2023,16
2324,Urunga,92,24/08/2019,33
2325,Ury Riverside,300,18/01/2020,
2326,Uvongo,636,29/12/2018,184
2327,Vääksyn kanava,53,13/10/2018,19
2328,Vaal Marina,369,28/04/2018,17
2329,Valentines,445,01/01/2020,206
2330,Valhalla,1067,04/02/2017,124
2331,Vallaskogen,75,17/08/2019,27
2332,Valley,259,01/01/2020,115
2333,Vandeleur,131,24/12/2016,68
2334,Varsity Lakes,330,01/01/2020,174
2335,Växjösjön,727,06/06/2023,20
2336,Vejen,49,24/12/2011,12
2337,Velskoendraai,139,02/09/2023,66
2338,Verulamium juniors,227,12/05/2019,
2339,Vicarstown,193,18/02/2017,78
2340,Vicarstown juniors,193,17/02/2019,58
2341,Victor Harbor,278,31/12/2022,69
2342,Victoria,556,25/01/2020,489
2343,Victoria Dock,699,22/04/2023,134
2344,"Victoria juniors, Glasgow",193,21/08/2016,83
2345,"Victoria juniors, Macclesfield",120,21/07/2019,52
2346,"Victoria juniors, St Helens",63,02/07/2023,35
2347,Victoria Lake,1047,20/01/2018,302
2348,"Victoria, Kitchener",63,26/08/2023,23
2349,"Victoria, Truro",56,12/08/2023,26
2350,Victory Heights Trail,199,16/02/2019,81
2351,Vogrie,443,01/01/2020,118
2352,Volksgarten,174,03/10/2023,106
2353,Vredendal,227,18/11/2017,46
2354,Vryheid,337,16/06/2018,53
2355,Wagga,361,02/09/2017,108
2356,Wagi Bridge,349,26/10/2019,61
2357,Waitangi,287,25/03/2023,191
2358,Wakefield Thornes,464,11/01/2020,
2359,Wakefield Thornes juniors,210,20/01/2019,
2360,Walcha,181,29/02/2020,13
2361,Wallaby Track,219,01/01/2020,92
2362,Wallace,462,01/06/2019,210
2363,Wallaceneuk,144,18/01/2020,66
2364,Walmer and Deal Seafront,342,11/01/2020,80
2365,Walsall Arboretum,739,25/12/2019,272
2366,Walthamstow,207,27/01/2018,78
2367,Walton,16,27/04/2019,8
2368,Walton,16,25/05/2019,8
2369,Walton,16,15/07/2023,8
2370,Walvis Bay,346,24/02/2018,85
2371,Wanaka,156,07/01/2023,89
2372,Wangaratta,172,08/04/2023,68
2373,Wanneroo,275,21/04/2018,86
2374,Wanstead Flats,384,11/01/2020,156
2375,War Memorial Park juniors,105,01/10/2023,56
2376,Ward End juniors,39,30/07/2023,12
2377,Wardown juniors,87,30/09/2018,28
2378,Warner Lakes,442,01/01/2020,228
2379,Warragul,170,30/09/2023,167
2380,Warrandyte River Reserve,125,05/08/2023,118
2381,Warren County Armco,63,28/10/2023,22
2382,Warren Hill,133,29/02/2020,37
2383,Warringal Parklands,727,15/02/2020,239
2384,Warrington,717,11/01/2020,298
2385,Warrington juniors,133,14/01/2018,54
2386,Warrnambool,228,25/01/2020,147
2387,Warszawa-Bródno,108,09/04/2016,59
2388,Warszawa-Praga,343,13/05/2023,119
2389,Warszawa-Ursynów,174,29/01/2022,80
2390,Warszawa-Żoliborz,99,14/04/2018,44
2391,Warwick,173,08/02/2014,48
2392,Warwick Racecourse,478,18/01/2020,231
2393,Wascana,253,03/08/2019,56
2394,Wataraseyusuichi,129,04/06/2022,53
2395,Waterakkers,84,01/04/2023,21
2396,Waterfall,992,19/01/2019,209
2397,Watergrove,148,15/12/2018,105
2398,Waterloo Park juniors,83,29/10/2023,76
2399,Waterloo Plains,43,12/12/2020,8
2400,Waterlooville juniors,102,24/09/2017,54
2401,Watermead Country Park,346,21/05/2022,
2402,Watermead Country Park juniors,67,02/07/2023,
2403,Watermeadows,230,02/03/2019,110
2404,Waterstown,378,14/01/2017,46
2405,Waterworks,557,01/01/2020,315
2406,Waterworks juniors,181,17/04/2016,42
2407,Wauchope,162,01/01/2019,54
2408,Wednesfield juniors,47,25/07/2021,25
2409,Weedon Island Preserve,69,28/12/2019,43
2410,Weipa,118,13/08/2016,33
2411,Welkom,418,30/03/2019,106
2412,Wellington,247,24/09/2016,50
2413,Wells Estate,156,01/01/2020,16
2414,Weltevrede Wine Estate,127,08/10/2022,17
2415,Wendover Woods,475,01/01/2020,151
2416,Wentworth Common,259,03/12/2022,191
2417,Wepre,409,01/01/2020,73
2418,Werribee Park Mansion,143,09/04/2022,
2419,Werrington Lakes Reserve,339,01/01/2020,39
2420,Wertwiesen,93,15/07/2023,31
2421,Wes Mitchell Park,112,29/07/2023,27
2422,West Beach,402,18/01/2020,366
2423,West Coast Park,170,07/09/2019,72
2424,West End juniors,52,05/09/2021,
2425,West Links,161,15/01/2022,128
2426,West Lothian Cycle Circuit juniors,108,27/08/2023,78
2427,Westbury Town Common,144,30/07/2022,46
2428,Westerfolds,504,01/01/2020,112
2429,Westerfolds juniors,146,27/05/2018,86
2430,Western Springs,246,11/01/2020,176
2431,Westmill,216,01/01/2019,56
2432,Weston-super-Mare juniors,119,22/05/2016,28
2433,Westpark,185,07/10/2023,122
2434,Westport,205,09/09/2023,93
2435,Westside Playing Fields juniors,115,14/11/2021,
2436,Westville,662,30/06/2018,120
2437,Wetherby,179,29/06/2019,
2438,Wexford Racecourse,547,28/09/2019,54
2439,Weymouth,696,20/04/2019,256
2440,Weymouth juniors,284,16/04/2017,26
2441,Whakatane Gardens,111,03/09/2022,55
2442,Whalan Reserve,190,01/01/2023,31
2443,Whaley Bridge juniors,118,02/10/2016,22
2444,Whanganui Riverbank,84,08/04/2023,81
2445,Whangarei,245,04/02/2023,212
2446,Whinlatter Forest,421,01/01/2020,93
2447,Whitby,97,01/07/2023,77
2448,White River,183,19/01/2019,30
2449,White Rock,318,04/03/2017,33
2450,Whitehaven,131,13/04/2019,45
2451,Whitekirk Hill,97,04/11/2023,97
2452,Whitelands Farm juniors,172,02/02/2020,25
2453,Whiteley,460,01/01/2020,221
2454,Whitemark Wharf,126,02/09/2023,29
2455,Whitfords Nodes,241,18/11/2017,88
2456,Whitley Bay,567,18/01/2020,535
2457,Whitley Bay juniors,342,09/06/2019,75
2458,Whitstable,525,01/06/2019,185
2459,Whitstable juniors,126,05/05/2019,29
2460,Wickford Memorial,366,03/06/2023,161
2461,Wicksteed juniors,101,05/01/2020,
2462,Widnes,510,01/01/2020,377
2463,Widnes juniors,157,21/05/2017,40
2464,Wienburgpark,51,11/02/2023,48
2465,Wildflower,212,08/04/2023,161
2466,Willoughby,374,04/11/2023,374
2467,Willow,261,04/02/2023,138
2468,Wilmslow,525,01/01/2020,274
2469,Wilmslow juniors,178,16/06/2019,115
2470,Wilson Botanic,179,27/08/2016,59
2471,Wilson Inlet Heritage Trail,117,02/09/2023,71
2472,Wilton Park juniors,40,21/05/2023,19
2473,Wimbledon Common,1074,11/02/2023,339
2474,Wimbledon Park juniors,269,09/06/2019,
2475,"Wimmera River, Horsham",243,25/08/2018,110
2476,Wimpole Estate,493,24/12/2016,
2477,Wimpole Estate juniors,195,07/05/2017,25
2478,Winchester,507,01/06/2019,
2479,Winchester juniors,153,11/09/2022,
2480,Windhoek,185,18/01/2020,54
2481,Windmill Hill juniors,150,05/11/2017,75
2482,Windsor Precinct,217,01/01/2020,77
2483,Windy Nook,215,02/12/2017,56
2484,Winterton,277,28/04/2018,84
2485,Winthrop Trailhead,28,23/07/2022,15
2486,Wirral Country Park juniors,163,23/09/2018,95
2487,Wisbech,202,02/09/2023,152
2488,Wisbech juniors,65,26/05/2019,32
2489,Wisbech juniors,65,25/04/2021,32
2490,Wishart,412,29/02/2020,219
2491,Witney,393,22/06/2019,124
2492,Wits,500,03/09/2022,163
2493,Witton,273,29/08/2015,
2494,Wöhrder See,261,09/09/2023,89
2495,Woking,439,01/01/2020,
2496,Woking juniors,229,21/05/2023,
2497,Wolford Wood,140,25/02/2023,38
2498,Wollaton Hall,603,08/02/2020,341
2499,Wolverhampton,520,01/02/2020,215
2500,Wondai,175,25/06/2022,47
2501,Wood Green juniors,88,12/09/2021,63
2502,Woodbank,396,08/10/2022,197
2503,Woodbridge Riverside,429,06/02/2016,139
2504,Woodgate Valley Country Park,309,17/06/2023,
2505,Woodhouse Moor,799,11/01/2020,695
2506,Woodlands,1157,20/01/2018,462
2507,Woodlands Historic Park,171,27/05/2023,66
2508,Woodley,659,01/01/2019,257
2509,Woodley juniors,290,17/09/2017,193
2510,Woolacombe Dunes,339,24/08/2019,98
2511,Worcester,750,24/12/2016,290
2512,Worcester Pitchcroft,626,01/01/2019,126
2513,Worden,317,28/10/2023,
2514,Worden Park juniors,128,18/04/2021,
2515,Workington,218,28/04/2018,105
2516,Worksop College juniors,91,17/02/2019,14
2517,Wormwood Scrubs,186,07/09/2019,65
2518,Worsley Woods,639,11/01/2020,531
2519,Worthing,689,04/01/2020,
2520,Worthing Leisure Centre juniors,140,26/01/2020,73
2521,Wotton,304,22/10/2016,35
2522,Wotton Community PARC juniors,48,04/07/2021,9
2523,Wotton Community PARC juniors,48,12/09/2021,9
2524,Woy Woy,338,08/04/2023,170
2525,Wrocław,186,25/11/2017,96
2526,Wycombe Rye,666,18/01/2020,288
2527,Wycombe Rye juniors,170,14/05/2017,29
2528,Wyndham juniors,110,11/06/2023,51
2529,Wyndham Vale,257,01/01/2020,138
2530,Wynnum,454,15/02/2020,309
2531,Wynyard Foreshore,116,25/08/2018,60
2532,Wynyard Woodland,414,15/04/2023,60
2533,Wyre Forest,339,18/01/2020,137
2534,Wyre Forest juniors,68,21/07/2019,28
2535,Wyre Forest juniors,68,08/09/2019,28
2536,Wythenshawe,462,15/07/2023,219
2537,Wzniesienie Osowy,108,26/03/2022,
2538,Yackandandah Rail Trail,101,22/04/2023,34
2539,Yamba,178,08/04/2023,49
2540,Yarborough Leisure Centre,449,04/02/2023,187
2541,Yarrabilba,227,01/02/2020,101
2542,Yatton Recreation juniors,134,22/09/2019,18
2543,Yeldulknie Weir Trail,72,27/04/2019,20
2544,Yeovil Rec juniors,115,04/08/2019,40
2545,Yeppoon,134,08/04/2023,96
2546,Yodogawa kasenkoen Hirakata chiku,201,14/12/2019,68
2547,Yokine,245,25/11/2017,198
2548,York,803,25/12/2019,659
2549,You Yangs,129,24/09/2016,34
2550,Yowie,228,02/02/2019,34
2551,Yuuka Family Road,38,19/03/2022,
2552,Zalew Wrzesiński,189,16/09/2023,58
2553,Zalew Żyrardowski,76,14/12/2019,21
2554,Zamek w Malborku,121,22/10/2022,20
2555,Zandvlei,661,19/01/2019,179
2556,Żary,281,22/07/2017,56
2557,Zastron Commons,66,21/01/2023,9
2558,Ziegelwiese,49,11/01/2020,27
2559,Ziegelwiese,49,03/10/2023,27
2560,Zielona Góra,82,04/08/2018,38
2561,Zielony Jar,122,22/04/2023,46
2562,Zillmere,484,20/01/2018,51
2563,Zuiderpark,313,27/05/2023,140
